id	output
"bafkreidhlrf4kh5qwz5viwpyqcsfwvtcb2nkl66krw34d6umszmyqw2fau"	{"roof_date": null}
"bafkreifudmtmhk5xwxwuav7hpmuy7uyt5z3tuu7fzxyd4wkf27mlzjzwp4"	{"roof_date": null}
"bafkreihqhkzaifobo73rdflypchubjgekylo6uwgfzxynabcsb33qs3ttu"	{"roof_date": null}
"bafkreihe4v2h357vtdpfzulztof7y3d2ojj5plawkh4rloke24bq2nguda"	{"roof_date": null}
"bafkreidlqyqipfb5sqepcowq2ffw75wlahiz6nkeg2a3rtuunuylo72jqu"	{"roof_date": null}
"bafkreie2t2kx6n3n5g2pn4w6hwzks6vkebdwayy66o7kz4thh4okapmag4"	{"roof_date": null}
"bafkreici4bfa4vhrmg7zkrl7rjzibyb5owmsahj7wzcyg3gilepkwhvu64"	{"roof_date": null}
"bafkreih66fgnbt3awilvb6c35zrksicbzut6ovsw6y6k5pzwl5enpj66ke"	{"roof_date": null}
"bafkreiapvn3kaohop3gj2wuwo37sucz46vwc5ui3u352gvc46qo5rco4oe"	{"roof_date": null}
"bafkreiefkyllnplr6cfopjifnq5ep6zubwvojnd4cih46dwrwsq6cqtakm"	{"roof_date": null}
"bafkreihx2vqmcxmmxib2kcqaemi2h355inzqfmjmaeqhqgg3xtr3j3kdx4"	{"roof_date": null}
"bafkreifxy6rbdw36k5d3fcmmnpgeamritoe2y63jnvpy3phvpejjfwz2ji"	{"roof_date": null}
"bafkreie2immgywthzjpy2cjmxyooty6htu5denrejpymtk7i7kqeex3e7m"	{"roof_date": null}
"bafkreiasp4wcuzomavh6l5wefhx43z62y3w45cpunccozpxy5lhzhs2yvm"	{"roof_date": null}
"bafkreicqcyiw2aweopkmnvta4qpys4d5tglbtmydcl2546kqchfvityju4"	{"roof_date": null}
"bafkreia7hyv5azzmsvjjchzai4mdjsx4pzr5ge5jlgrtwxasswmnsafd64"	{"roof_date": null}
"bafkreidx2rtswnqbdsz77nplgqrxjw4wu4cobwuhsu6uh63mcg7x7hnspe"	{"roof_date": null}
"bafkreiajdpqjvzuulyd56qtnu6qt2pidu4inei2xfgmvh4fsbpnqiik7qu"	{"roof_date": null}
"bafkreiebktgwyl7bexorrualyhmujkllrydzty6u4iu6v5mytipkdmpxwm"	{"roof_date": null}
